"(121,)","(113,)","(81,)","(80,)","(-15,)","(15,)","(36,)","(-38,)","(-5.77,)","(-5.04,)","(3.2,)","(-11.15,)","(121,)","(113,)","(81,)","(80,)","(114,)","(116,)","(70,)","(72,)"
"(113,)","(116,)","(72,)","(72,)","(-15,)","(14,)","(31,)","(-32,)","(-7.74,)","(3.48,)","(-9.56,)","(-8.74,)","(113,)","(116,)","(72,)","(72,)","(114,)","(116,)","(73,)","(75,)"
"(119,)","(118,)","(57,)","(54,)","(-14,)","(13,)","(26,)","(-27,)","(5.57,)","(1.56,)","(-14.1,)","(-17.65,)","(119,)","(118,)","(57,)","(54,)","(116,)","(115,)","(70,)","(71,)"
"(113,)","(114,)","(59,)","(70,)","(-14,)","(13,)","(27,)","(-28,)","(-5.57,)","(-3.58,)","(1.29,)","(15.75,)","(113,)","(114,)","(59,)","('null',)","(116,)","(115,)","(69,)","(74,)"
"(113,)","(115,)","(106,)","(76,)","(-13,)","(12,)","(24,)","(-25,)","(0.0,)","(1.0,)","(47.41,)","(6.75,)","(113,)","(115,)","('null',)","(76,)","(115,)","(115,)","(69,)","(74,)"
"(112,)","(113,)","(60,)","(65,)","(-12,)","(11,)","(18,)","(-20,)","(-0.48,)","(-2.47,)","(-46.06,)","(-11.88,)","(112,)","(113,)","(60,)","(65,)","(115,)","(114,)","(65,)","(69,)"
"(121,)","(121,)","(95,)","(100,)","(-14,)","(13,)","(22,)","(-24,)","(8.22,)","(7.74,)","(34.63,)","(34.96,)","(121,)","(121,)","('null',)","('null',)","(115,)","(116,)","(62,)","(66,)"
"(115,)","(108,)","(72,)","(70,)","(-15,)","(14,)","(32,)","(-34,)","(-5.27,)","(-12.37,)","(-22.51,)","(-29.82,)","(115,)","(108,)","(72,)","(70,)","(115,)","(114,)","(62,)","(66,)"
"(114,)","(115,)","(78,)","(80,)","(-15,)","(14,)","(35,)","(-36,)","(-1.0,)","(7.1,)","(5.7,)","(10.63,)","(114,)","(115,)","(78,)","('null',)","(114,)","(114,)","(67,)","(70,)"
"(124,)","(121,)","(65,)","(88,)","(-15,)","(14,)","(31,)","(-32,)","(9.09,)","(5.27,)","(-13.39,)","(8.08,)","(124,)","(121,)","(65,)","(88,)","(116,)","(115,)","(68,)","(74,)"
"(121,)","(118,)","(61,)","(59,)","(-15,)","(14,)","(27,)","(-28,)","(-2.82,)","(-2.69,)","(-3.5,)","(-29.63,)","(121,)","(118,)","(61,)","(59,)","(117,)","(116,)","(67,)","(70,)"
"(118,)","(128,)","(66,)","(63,)","(-15,)","(14,)","(27,)","(-29,)","(-2.69,)","(9.69,)","(5.13,)","(4.23,)","(118,)","(128,)","(66,)","(63,)","(118,)","(118,)","(68,)","(70,)"
"(116,)","(121,)","(80,)","(129,)","(-13,)","(12,)","(25,)","(-26,)","(-1.56,)","(-6.99,)","(13.33,)","(65.54,)","(116,)","(121,)","('null',)","('null',)","(118,)","(118,)","(68,)","(70,)"
"(119,)","(119,)","(66,)","(65,)","(-12,)","(11,)","(21,)","(-22,)","(2.09,)","(-2.16,)","(-13.33,)","(-63.46,)","(119,)","(119,)","(66,)","(65,)","(118,)","(120,)","(67,)","(68,)"
"(144,)","(133,)","(95,)","(130,)","(-14,)","(13,)","(25,)","(-26,)","(25.88,)","(14.29,)","(28.57,)","(64.51,)","('null',)","('null',)","('null',)","('null',)","(119,)","(121,)","(64,)","(68,)"
