"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(93,)","(93,)","(88,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.63,)","(4.13,)","(0.0,)","(1.93,)","(93,)","(93,)","(88,)","(88,)","(93,)","(87,)","(85,)","(85,)","(59721,)"
"(91,)","(91,)","(88,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-1.07,)","(-1.07,)","(0.0,)","(2.02,)","(91,)","(91,)","(88,)","(90,)","(89,)","(88,)","(86,)","(86,)","(59772,)"
"(93,)","(93,)","(90,)","(91,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.07,)","(1.07,)","(1.51,)","(1.04,)","(93,)","(93,)","(90,)","(91,)","(90,)","(90,)","(87,)","(87,)","(59823,)"
"(95,)","(95,)","(93,)","(93,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.21,)","(2.21,)","(2.63,)","(1.07,)","(95,)","(95,)","(93,)","(93,)","(91,)","(91,)","(88,)","(89,)","(59874,)"
"(95,)","(95,)","(91,)","(96,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(-1.07,)","(3.95,)","(95,)","(95,)","(91,)","(96,)","(92,)","(92,)","(89,)","(90,)","(59925,)"
"(93,)","(93,)","(93,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-1.67,)","(-1.67,)","(1.07,)","(-1.73,)","(93,)","(93,)","(93,)","(95,)","(93,)","(93,)","(90,)","(92,)","(59976,)"
"(95,)","(95,)","(93,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.67,)","(1.67,)","(0.54,)","(0.0,)","(95,)","(95,)","(93,)","(95,)","(93,)","(93,)","(91,)","(93,)","(60027,)"
"(95,)","(95,)","(95,)","(93,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(1.67,)","(-1.67,)","(95,)","(95,)","(95,)","(93,)","(94,)","(94,)","(92,)","(93,)","(60078,)"
"(96,)","(96,)","(95,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.73,)","(1.73,)","(0.0,)","(1.67,)","(96,)","(96,)","(95,)","(95,)","(94,)","(94,)","(93,)","(94,)","(60129,)"
"(96,)","(95,)","(96,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-1.73,)","(1.73,)","(0.0,)","(96,)","(95,)","(96,)","(95,)","(95,)","(94,)","(93,)","(94,)","(60180,)"
